SEED,SEED_DIFF,MC_WIN_PROB,MC_WIN_MARGIN,PROJECTED_POSSESSIONS,FT_RATE_DIFF,3PT_RATE_DIFF,WIN
16,0,0.542,84,73.71715791682728,0.0,0.0,0
16,0,0.458,-84,73.71715791682728,0.0,0.0,1
11,0,0.282,-436,65.47834582337026,0.0,0.0,0
11,0,0.718,436,65.47834582337026,0.0,0.0,1
11,0,0.504,8,68.29643804227499,0.0,0.0,0
11,0,0.496,-8,68.29643804227499,0.0,0.0,1
16,0,0.005,-990,72.23083024622352,0.0,0.0,0
16,0,0.995,990,72.23083024622352,0.0,0.0,1
1,-15,0.712,424,72.65578149010595,0.0,0.0,1
16,15,0.288,-424,72.65578149010595,0.0,0.0,0
8,-1,0.588,176,65.35566850803878,0.0,0.0,1
9,1,0.412,-176,65.35566850803878,0.0,0.0,0
5,-7,0.486,-28,70.0429662287923,0.0,0.0,1
12,7,0.514,28,70.0429662287923,0.0,0.0,0
4,-9,0.221,-558,63.089136420119786,0.0,0.0,0
13,9,0.779,558,63.089136420119786,0.0,0.0,1
6,-5,0.674,348,69.09009304303498,0.0,0.0,1
11,5,0.326,-348,69.09009304303498,0.0,0.0,0
3,-11,0.841,682,65.3393224088488,0.0,0.0,1
14,11,0.159,-682,65.3393224088488,0.0,0.0,0
7,-3,0.885,770,70.11795480783655,0.0,0.0,1
10,3,0.115,-770,70.11795480783655,0.0,0.0,0
2,-13,0.566,132,68.75502137106963,0.0,0.0,0
15,13,0.434,-132,68.75502137106963,0.0,0.0,1
1,-15,0.644,288,63.119259413150296,0.0,0.0,1
16,15,0.356,-288,63.119259413150296,0.0,0.0,0
8,-1,0.433,-134,70.60406995514128,0.0,0.0,0
9,1,0.567,134,70.60406995514128,0.0,0.0,1
5,-7,0.557,114,66.60261260581535,0.0,0.0,1
12,7,0.443,-114,66.60261260581535,0.0,0.0,0
4,-9,0.46,-80,66.42080240099492,0.0,0.0,1
13,9,0.54,80,66.42080240099492,0.0,0.0,0
6,-5,0.122,-756,65.49028756952498,0.0,0.0,0
11,5,0.878,756,65.49028756952498,0.0,0.0,1
3,-11,0.666,332,71.30665210307214,0.0,0.0,1
14,11,0.334,-332,71.30665210307214,0.0,0.0,0
7,-3,0.491,-18,63.51910015711969,0.0,0.0,0
10,3,0.509,18,63.51910015711969,0.0,0.0,1
2,-13,0.836,672,69.32754566688394,0.0,0.0,1
15,13,0.164,-672,69.32754566688394,0.0,0.0,0
1,-15,0.659,318,71.42498214700119,0.0,0.0,1
16,15,0.341,-318,71.42498214700119,0.0,0.0,0
8,-1,0.528,56,68.87401807616136,0.0,0.0,1
9,1,0.472,-56,68.87401807616136,0.0,0.0,0
5,-7,0.6,200,63.08066426646839,0.0,0.0,1
12,7,0.4,-200,63.08066426646839,0.0,0.0,0
4,-9,0.728,456,65.31223921138161,0.0,0.0,1
13,9,0.272,-456,65.31223921138161,0.0,0.0,0
6,-5,0.593,186,70.90280887818912,0.0,0.0,1
11,5,0.407,-186,70.90280887818912,0.0,0.0,0
3,-11,0.536,72,69.04082380628068,0.0,0.0,1
14,11,0.464,-72,69.04082380628068,0.0,0.0,0
7,-3,0.601,202,63.45311667908679,0.0,0.0,1
10,3,0.399,-202,63.45311667908679,0.0,0.0,0
2,-13,0.527,54,65.3047607411934,0.0,0.0,1
15,13,0.473,-54,65.3047607411934,0.0,0.0,0
1,-15,0.623,246,66.30305392261921,0.0,0.0,0
16,15,0.377,-246,66.30305392261921,0.0,0.0,1
8,-1,0.352,-296,68.14280234781505,0.0,0.0,0
9,1,0.648,296,68.14280234781505,0.0,0.0,1
5,-7,0.433,-134,67.1901359112772,0.0,0.0,1
12,7,0.567,134,67.1901359112772,0.0,0.0,0
4,-9,0.802,604,66.36026036988386,0.0,0.0,1
13,9,0.198,-604,66.36026036988386,0.0,0.0,0
6,-5,0.431,-138,68.42521458419557,0.0,0.0,1
11,5,0.569,138,68.42521458419557,0.0,0.0,0
3,-11,0.687,374,68.48159263993634,0.0,0.0,1
14,11,0.313,-374,68.48159263993634,0.0,0.0,0
7,-3,0.587,174,67.35340562879651,0.0,0.0,1
10,3,0.413,-174,67.35340562879651,0.0,0.0,0
2,-13,0.733,466,68.27887170610413,0.0,0.0,1
15,13,0.267,-466,68.27887170610413,0.0,0.0,0
1,-7,0.918,836,68.98981851561861,0.0,0.0,1
8,7,0.082,-836,68.98981851561861,0.0,0.0,0
5,-8,0.448,-104,66.4758447821253,0.0,0.0,1
13,8,0.552,104,66.4758447821253,0.0,0.0,0
3,-3,0.317,-366,68.70476395643678,0.0,0.0,0
6,3,0.683,366,68.70476395643678,0.0,0.0,1
7,-8,0.568,136,67.95891275978818,0.0,0.0,0
15,8,0.432,-136,67.95891275978818,0.0,0.0,1
1,-8,0.478,-44,65.85829605618233,0.0,0.0,1
9,8,0.522,44,65.85829605618233,0.0,0.0,0
4,-1,0.403,-194,69.27552768618258,0.0,0.0,0
5,1,0.597,194,69.27552768618258,0.0,0.0,1
3,-8,0.285,-430,71.78440314170474,0.0,0.0,1
11,8,0.715,430,71.78440314170474,0.0,0.0,0
2,-8,0.176,-648,67.6330210230714,0.0,0.0,1
10,8,0.824,648,67.6330210230714,0.0,0.0,0
1,-7,0.654,308,69.22112864102832,0.0,0.0,0
8,7,0.346,-308,69.22112864102832,0.0,0.0,1
4,-1,0.699,398,64.48796605099723,0.0,0.0,1
5,1,0.301,-398,64.48796605099723,0.0,0.0,0
3,-3,0.515,30,72.69214747028235,0.0,0.0,1
6,3,0.485,-30,72.69214747028235,0.0,0.0,0
2,-5,0.37,-260,63.25047634188042,0.0,0.0,1
7,5,0.63,260,63.25047634188042,0.0,0.0,0
9,-7,0.733,466,69.75177739913366,0.0,0.0,1
16,7,0.267,-466,69.75177739913366,0.0,0.0,0
4,-1,0.629,258,63.169139957900185,0.0,0.0,1
5,1,0.371,-258,63.169139957900185,0.0,0.0,0
3,-3,0.566,132,69.79576253004457,0.0,0.0,1
6,3,0.434,-132,69.79576253004457,0.0,0.0,0
2,-5,0.802,604,68.24588444936902,0.0,0.0,0
7,5,0.198,-604,68.24588444936902,0.0,0.0,1
1,-4,0.564,128,70.42284969738802,0.0,0.0,0
5,4,0.436,-128,70.42284969738802,0.0,0.0,1
6,-9,0.68,360,68.74168606675654,0.0,0.0,1
15,9,0.32,-360,68.74168606675654,0.0,0.0,0
1,-4,0.487,-26,66.4686495580547,0.0,0.0,0
5,4,0.513,26,66.4686495580547,0.0,0.0,1
2,-1,0.572,144,72.17993986535117,0.0,0.0,1
3,1,0.428,-144,72.17993986535117,0.0,0.0,0
4,-4,0.832,664,67.51370189860349,0.0,0.0,1
8,4,0.168,-664,67.51370189860349,0.0,0.0,0
2,-1,0.435,-130,70.321773525465,0.0,0.0,0
3,1,0.565,130,70.321773525465,0.0,0.0,1
4,-5,0.452,-96,64.22422594511431,0.0,0.0,0
9,5,0.548,96,64.22422594511431,0.0,0.0,1
3,-4,0.57,140,69.22261988763722,0.0,0.0,1
7,4,0.43,-140,69.22261988763722,0.0,0.0,0
5,-1,0.328,-344,66.12813888321782,0.0,0.0,1
6,1,0.672,344,66.12813888321782,0.0,0.0,0
2,-3,0.432,-136,69.5507055632544,0.0,0.0,0
5,3,0.568,136,69.5507055632544,0.0,0.0,1
3,-1,0.138,-724,70.43365538627489,0.0,0.0,0
4,1,0.862,724,70.43365538627489,0.0,0.0,1
3,-6,0.373,-254,68.44108440486616,0.0,0.0,0
9,6,0.627,254,68.44108440486616,0.0,0.0,1
5,-4,0.411,-178,64.25330875333242,0.0,0.0,1
9,4,0.589,178,64.25330875333242,0.0,0.0,0
4,-1,0.597,194,66.66059579004667,0.0,0.0,1
5,1,0.403,-194,66.66059579004667,0.0,0.0,0
4,-1,0.682,364,65.18389124288908,0.0,0.0,1
5,1,0.318,-364,65.18389124288908,0.0,0.0,0
16,0,0.776,552,65.64839873794315,0.13031174889310557,0.011456672991777272,0
16,0,0.224,-552,65.64839873794315,-0.13031174889310557,-0.011456672991777272,1
10,0,0.236,-528,62.45396896371052,-0.07761630130371797,-0.0592428005794301,0
10,0,0.764,528,62.45396896371052,0.07761630130371797,0.0592428005794301,1
16,0,0.762,524,69.19534836018883,-0.05673627723942695,0.14989227107993347,0
16,0,0.238,-524,69.19534836018883,0.05673627723942695,-0.14989227107993347,1
10,0,0.213,-574,66.36102885226364,-0.012141193259037841,0.09109690133188358,0
10,0,0.787,574,66.36102885226364,0.012141193259037841,-0.09109690133188358,1
16,15,0.581,162,66.5191357549248,-0.008559348739495765,0.014707107843137335,0
1,-15,0.419,-162,66.5191357549248,0.008559348739495765,-0.014707107843137335,1
8,-1,0.595,190,69.42981024050275,0.03033507260419263,0.0255763555183115,0
9,1,0.405,-190,69.42981024050275,-0.03033507260419263,-0.0255763555183115,1
12,7,0.588,176,67.57788501831344,0.03387533263912984,-0.06363450190905945,0
5,-7,0.412,-176,67.57788501831344,-0.03387533263912984,0.06363450190905945,1
4,-9,0.75,500,67.7385123626954,0.09089461680393546,0.025747564477937968,0
13,9,0.25,-500,67.7385123626954,-0.09089461680393546,-0.025747564477937968,1
6,-5,0.803,606,66.9408803194232,-0.04320358525269721,0.11616570126554465,1
11,5,0.197,-606,66.9408803194232,0.04320358525269721,-0.11616570126554465,0
14,11,0.28,-440,65.05016903617606,-0.06654864452080941,0.06624089347079043,0
3,-11,0.72,440,65.05016903617606,0.06654864452080941,-0.06624089347079043,1
10,3,0.669,338,66.64147509881865,0.025256454804935186,0.07262061488017857,0
7,-3,0.331,-338,66.64147509881865,-0.025256454804935186,-0.07262061488017857,1
15,13,0.319,-362,66.16685636339061,-0.04041879934928383,0.08820706529645939,0
2,-13,0.681,362,66.16685636339061,0.04041879934928383,-0.08820706529645939,1
16,15,0.16,-680,66.58860955897376,-0.09267326045462423,0.01801492278327277,0
1,-15,0.84,680,66.58860955897376,0.09267326045462423,-0.01801492278327277,1
8,-1,0.447,-106,66.08831807502845,0.042617616405171754,0.08021940227035873,0
9,1,0.553,106,66.08831807502845,-0.042617616405171754,-0.08021940227035873,1
