Bracket,Round,Game_ID,Winner,Model_Favorite,Is_Upset
1,1,1,Duke,Duke,False
1,1,2,Ohio State,Ohio State,False
1,1,3,Northern Iowa,St. John's,True
1,1,4,Kansas,Kansas,False
1,1,5,Louisville,Louisville,False
1,1,6,Michigan State,Michigan State,False
1,1,7,UCLA,UCLA,False
1,1,8,Connecticut,Connecticut,False
1,1,9,Florida,Florida,False
1,1,10,Clemson,Clemson,False
1,1,11,Vanderbilt,Vanderbilt,False
1,1,12,Nebraska,Nebraska,False
1,1,13,VCU,North Carolina,True
1,1,14,Illinois,Illinois,False
1,1,15,Saint Mary's,Saint Mary's,False
1,1,16,Idaho,Houston,True
1,1,17,Arizona,Arizona,False
1,1,18,Utah State,Utah State,False
1,1,19,High Point,Wisconsin,True
1,1,20,Arkansas,Arkansas,False
1,1,21,BYU,BYU,False
1,1,22,Gonzaga,Gonzaga,False
1,1,23,Miami,Miami,False
1,1,24,Purdue,Purdue,False
1,1,25,Michigan,Michigan,False
1,1,26,Saint Louis,Saint Louis,False
1,1,27,Texas Tech,Texas Tech,False
1,1,28,Alabama,Alabama,False
1,1,29,Tennessee,Tennessee,False
1,1,30,Virginia,Virginia,False
1,1,31,Kentucky,Kentucky,False
1,1,32,Iowa State,Iowa State,False
1,2,33,Ohio State,Duke,True
1,2,34,Kansas,Kansas,False
1,2,35,Louisville,Michigan State,True
1,2,36,UCLA,UCLA,False
1,2,37,Florida,Florida,False
1,2,38,Vanderbilt,Vanderbilt,False
1,2,39,Illinois,Illinois,False
1,2,40,Saint Mary's,Saint Mary's,False
1,2,41,Arizona,Arizona,False
1,2,42,Arkansas,Arkansas,False
1,2,43,Gonzaga,Gonzaga,False
1,2,44,Purdue,Purdue,False
1,2,45,Michigan,Michigan,False
1,2,46,Texas Tech,Texas Tech,False
1,2,47,Virginia,Virginia,False
1,2,48,Kentucky,Iowa State,True
1,3,49,Kansas,Kansas,False
1,3,50,UCLA,UCLA,False
1,3,51,Florida,Vanderbilt,True
1,3,52,Illinois,Illinois,False
1,3,53,Arizona,Arizona,False
1,3,54,Purdue,Purdue,False
1,3,55,Michigan,Michigan,False
1,3,56,Kentucky,Virginia,True
1,4,57,UCLA,Kansas,True
1,4,58,Illinois,Illinois,False
1,4,59,Arizona,Purdue,True
1,4,60,Michigan,Michigan,False
1,5,61,Illinois,Illinois,False
1,5,62,Michigan,Michigan,False
1,6,63,Illinois,Michigan,True
2,1,1,Duke,Duke,False
2,1,2,Ohio State,Ohio State,False
2,1,3,St. John's,St. John's,False
2,1,4,Kansas,Kansas,False
2,1,5,Louisville,Louisville,False
2,1,6,Michigan State,Michigan State,False
2,1,7,UCLA,UCLA,False
2,1,8,Furman,Connecticut,True
2,1,9,Florida,Florida,False
2,1,10,Clemson,Clemson,False
