Team,Seed,Points Scored,Opponent Points,Pred Win Prob,Chalk Win Prob
SEMO,16,71,75,0.28259151823854195,0.5
AMCC,16,75,71,0.717408481761458,0.5
MSST,11,59,60,0.19857963645089502,0.5
PITT,11,60,59,0.801420363549105,0.5
NEV,11,73,98,0.6055346022529827,0.5
ASU,11,98,73,0.3944653977470172,0.5
TXSO,16,61,84,0.1399695350110107,0.5
FDU,16,84,61,0.8600304649889894,0.5
ALA,1,96,75,0.9177009348626604,1.0
AMCC,16,75,96,0.08229906513733967,0.0
MD,8,67,65,0.765550693059602,1.0
WVU,9,65,67,0.23444930694039803,0.0
SDSU,5,63,57,0.824760956543913,1.0
COFC,12,57,63,0.17523904345608696,0.0
UVA,4,67,68,0.7633553659342218,1.0
FUR,13,68,67,0.23664463406577818,0.0
CREI,6,72,63,0.8450520356758029,1.0
NCSU,11,63,72,0.15494796432419713,0.0
BAY,3,74,56,0.8089502412711624,1.0
UCSB,14,56,74,0.1910497587288376,0.0
MIZ,7,76,65,0.5801859590520172,1.0
USU,10,65,76,0.41981404094798286,0.0
ARIZ,2,55,59,0.8403552005481046,1.0
PRIN,15,59,55,0.1596447994518954,0.0
HOU,1,63,52,0.9755265332132322,1.0
NKU,16,52,63,0.024473466786767758,0.0
IOWA,8,75,83,0.6059051338452162,1.0
AUB,9,83,75,0.3940948661547838,0.0
MIA,5,63,56,0.6993591252833887,1.0
DRKE,12,56,63,0.3006408747166113,0.0
IU,4,71,60,0.8810147489320389,1.0
KENT,13,60,71,0.11898525106796111,0.0
ISU,6,41,59,0.23116885921505462,1.0
PITT,11,59,41,0.7688311407849454,0.0
XAV,3,72,67,0.9497231324876828,1.0
KENN,14,67,72,0.0502768675123172,0.0
TA&M,7,59,76,0.47991696438237685,1.0
PSU,10,76,59,0.5200830356176231,0.0
TEX,2,81,61,0.888454259917457,1.0
COLG,15,61,81,0.11154574008254296,0.0
KU,1,96,68,0.9751971582484671,1.0
HOW,16,68,96,0.024802841751532814,0.0
ARK,8,73,63,0.6589148005743104,1.0
ILL,9,63,73,0.3410851994256897,0.0
SMC,5,63,51,0.8863999004988624,1.0
VCU,12,51,63,0.11360009950113754,0.0
CONN,4,87,63,0.8536879848160779,1.0
IONA,13,63,87,0.14631201518392217,0.0
TCU,6,72,70,0.7840643669985521,1.0
ASU,11,70,72,0.21593563300144794,0.0
GONZ,3,82,70,0.8820252215467014,1.0
GCU,14,70,82,0.11797477845329862,0.0
NU,7,75,67,0.4846979512266364,1.0
BOIS,10,67,75,0.5153020487733636,0.0
UCLA,2,86,53,0.9395882053395628,1.0
UNCA,15,53,86,0.06041179466043713,0.0
PUR,1,58,63,0.9590333810017933,1.0
FDU,16,63,58,0.040966618998206764,0.0
MEM,8,65,66,0.39803596653496426,1.0
FAU,9,66,65,0.6019640334650358,0.0
DUKE,5,74,51,0.6357501507744534,1.0
ORU,12,51,74,0.36424984922554665,0.0
TENN,4,58,55,0.8627567545150661,1.0
ULM,13,55,58,0.1372432454849339,0.0
UK,6,61,53,0.6601521605846866,1.0
PROV,11,53,61,0.3398478394153134,0.0
KSU,3,77,65,0.7969369217954307,1.0
MTST,14,65,77,0.20306307820456918,0.0
MSU,7,72,62,0.785497208936627,1.0
USC,10,62,72,0.21450279106337303,0.0
MARQ,2,78,61,0.8394716078758209,1.0
UVM,15,61,78,0.16052839212417916,0.0
ALA,1,73,51,0.8462106401573053,1.0
MD,8,51,73,0.15378935984269473,0.0
SDSU,5,75,52,0.8079296597812095,1.0
FUR,13,52,75,0.19207034021879046,0.0
BAY,3,76,85,0.21173053083012347,1.0
CREI,6,85,76,0.7882694691698766,0.0
MIZ,7,63,78,0.5353513901861616,1.0
PRIN,15,78,63,0.4646486098138384,0.0
HOU,1,81,64,0.8766193085729522,1.0
AUB,9,64,81,0.12338069142704775,0.0
IU,4,69,85,0.5326117271295329,1.0
MIA,5,85,69,0.4673882728704672,0.0
XAV,3,84,73,0.7008742370018693,1.0
PITT,11,73,84,0.29912576299813076,0.0
TEX,2,71,66,0.5077935351804888,1.0
PSU,10,66,71,0.49220646481951125,0.0
KU,1,71,72,0.8082303688113087,1.0
ARK,8,72,71,0.19176963118869123,0.0
CONN,4,70,55,0.6720570085399175,1.0
SMC,5,55,70,0.32794299146008243,0.0
GONZ,3,84,81,0.7417923083403061,1.0
TCU,6,81,84,0.25820769165969404,0.0
UCLA,2,68,63,0.7623184715635235,1.0
NU,7,63,68,0.2376815284364765,0.0
FAU,9,78,70,0.8836435992183088,1.0
FDU,16,70,78,0.11635640078169109,0.0
TENN,4,65,52,0.48877496615860844,1.0
DUKE,5,52,65,0.5112250338413916,0.0
KSU,3,75,69,0.3881908539840106,1.0
UK,6,69,75,0.6118091460159893,0.0
MARQ,2,60,69,0.5432021439747488,1.0
MSU,7,69,60,0.4567978560252512,0.0
ALA,1,64,71,0.5566260799257319,1.0
SDSU,5,71,64,0.4433739200742681,0.0
CREI,6,86,75,0.9094561401415913,1.0
PRIN,15,75,86,0.0905438598584087,0.0
HOU,1,75,89,0.6286140692661359,1.0
MIA,5,89,75,0.37138593073386406,0.0
TEX,2,83,71,0.5147459972714622,1.0
XAV,3,71,83,0.48525400272853786,0.0
CONN,4,88,65,0.8789140209632569,1.0
ARK,8,65,88,0.12108597903674312,0.0
UCLA,2,76,79,0.440335707014006,1.0
GONZ,3,79,76,0.559664292985994,0.0
TENN,4,55,62,0.5965233364865609,1.0
FAU,9,62,55,0.40347666351343925,0.0
KSU,3,98,93,0.35433663224140943,1.0
MSU,7,93,98,0.6456633677585906,0.0
SDSU,5,57,56,0.3037871325025027,1.0
CREI,6,56,57,0.6962128674974972,0.0
TEX,2,81,88,0.43385849268255855,1.0
MIA,5,88,81,0.5661415073174415,0.0
GONZ,3,54,82,0.354474161016528,1.0
CONN,4,82,54,0.6455258389834719,0.0
KSU,3,76,79,0.4362934075611001,1.0
FAU,9,79,76,0.5637065924388999,0.0
SDSU,5,72,71,0.6049763640937008,1.0
FAU,9,71,72,0.3950236359062992,0.0
CONN,4,72,59,0.5559538963026077,1.0
MIA,5,59,72,0.4440461036973923,0.0
CONN,4,76,59,0.6697140116808489,1.0
SDSU,5,59,76,0.3302859883191512,0.0
HOW,16,68,71,0.4627746352831785,0.5
WAG,16,71,68,0.5372253647168215,0.5
UVA,10,42,67,0.32679992183327156,0.5
CSU,10,67,42,0.6732000781667286,0.5
MTST,16,81,88,0.5742807254753926,0.5
GRAM,16,88,81,0.42571927452460745,0.5
BOIS,10,53,60,0.19554530667344472,0.5
COLO,10,60,53,0.8044546933265553,0.5
STET,16,52,91,0.08510788861100324,0.0
CONN,1,91,52,0.9148921113889968,1.0
FAU,8,65,77,0.5005920034405625,1.0
NU,9,77,65,0.4994079965594375,0.0
UAB,12,65,69,0.3724194657927388,0.0
SDSU,5,69,65,0.6275805342072612,1.0
AUB,4,76,78,0.8414491938779596,1.0
YALE,13,78,76,0.15855080612204048,0.0
BYU,6,71,67,0.8565861111281756,1.0
DUQ,11,67,71,0.14341388887182435,0.0
MORE,14,69,85,0.07382749283946206,0.0
ILL,3,85,69,0.926172507160538,1.0
DRKE,10,61,66,0.4680802617519747,0.0
WSU,7,66,61,0.5319197382480253,1.0
SDST,15,65,82,0.10448894698963149,0.0
ISU,2,82,65,0.8955110530103685,1.0
WAG,16,62,90,0.028289402770713925,0.0
UNC,1,90,62,0.9717105972292861,1.0
MSST,8,51,69,0.22510730490292713,1.0
MSU,9,69,51,0.7748926950970729,0.0
SMC,5,66,75,0.7698105196898382,1.0
GCU,12,75,66,0.23018948031016176,0.0
COFC,13,96,109,0.1849953718039682,0.0
ALA,4,109,96,0.8150046281960318,1.0
UNM,11,56,77,0.19482962418935082,0.0
CLEM,6,77,56,0.8051703758106492,1.0
COLG,14,67,92,0.09529894954222984,0.0
BAY,3,92,67,0.9047010504577702,1.0
NEV,10,60,63,0.3495879214320052,0.0
DAY,7,63,60,0.6504120785679949,1.0
LBSU,15,65,85,0.04965541721464951,0.0
ARIZ,2,85,65,0.9503445827853505,1.0
LONG,16,46,86,0.04191310053525711,0.0
HOU,1,86,46,0.9580868994647429,1.0
NEB,8,83,98,0.46440551165503613,1.0
TA&M,9,98,83,0.5355944883449639,0.0
WIS,5,61,72,0.8609893318716653,1.0
JMU,12,72,61,0.13901066812833476,0.0
UVM,13,47,64,0.12428216044104982,0.0
DUKE,4,64,47,0.8757178395589501,1.0
TTU,6,67,80,0.6819303691046826,1.0
NCSU,11,80,67,0.31806963089531737,0.0
UK,3,76,80,0.8822830777738627,1.0
OAK,14,80,76,0.11771692222613729,0.0
FLA,7,100,102,0.5254930543761491,1.0
COLO,10,102,100,0.4745069456238509,0.0
WKU,15,69,87,0.10022794434133002,0.0
MARQ,2,87,69,0.8997720556586699,1.0
