team_name,team_seed,team_score,opponent_score,projected_wins_team1,projected_wins_team2
SEMO,16,71,75,423,577
AMCC,16,75,71,577,423
MSST,11,59,60,392,608
PITT,11,60,59,608,392
NEV,11,73,98,513,487
ASU,11,98,73,487,513
TXSO,16,61,84,98,902
FDU,16,84,61,902,98
ALA,1,96,75,486,514
AMCC,16,75,96,514,486
MD,8,67,65,508,492
WVU,9,65,67,492,508
SDSU,5,63,57,389,611
COFC,12,57,63,611,389
UVA,4,67,68,378,622
FUR,13,68,67,622,378
CREI,6,72,63,663,337
NCSU,11,63,72,337,663
BAY,3,74,56,713,287
UCSB,14,56,74,287,713
MIZ,7,76,65,666,334
USU,10,65,76,334,666
ARIZ,2,55,59,478,522
PRIN,15,59,55,522,478
HOU,1,63,52,518,482
NKU,16,52,63,482,518
IOWA,8,75,83,444,556
AUB,9,83,75,556,444
MIA,5,63,56,633,367
DRKE,12,56,63,367,633
IU,4,71,60,398,602
KENT,13,60,71,602,398
ISU,6,41,59,146,854
PITT,11,59,41,854,146
XAV,3,72,67,599,401
KENN,14,67,72,401,599
TA&M,7,59,76,686,314
PSU,10,76,59,314,686
TEX,2,81,61,710,290
COLG,15,61,81,290,710
KU,1,96,68,562,438
HOW,16,68,96,438,562
ARK,8,73,63,648,352
ILL,9,63,73,352,648
SMC,5,63,51,477,523
VCU,12,51,63,523,477
CONN,4,87,63,601,399
IONA,13,63,87,399,601
TCU,6,72,70,577,423
ASU,11,70,72,423,577
GONZ,3,82,70,517,483
GCU,14,70,82,483,517
NU,7,75,67,463,537
BOIS,10,67,75,537,463
UCLA,2,86,53,554,446
UNCA,15,53,86,446,554
PUR,1,58,63,619,381
FDU,16,63,58,381,619
MEM,8,65,66,421,579
FAU,9,66,65,579,421
DUKE,5,74,51,453,547
ORU,12,51,74,547,453
TENN,4,58,55,723,277
ULM,13,55,58,277,723
UK,6,61,53,419,581
PROV,11,53,61,581,419
KSU,3,77,65,609,391
MTST,14,65,77,391,609
MSU,7,72,62,606,394
USC,10,62,72,394,606
MARQ,2,78,61,715,285
UVM,15,61,78,285,715
ALA,1,73,51,783,217
MD,8,51,73,217,783
SDSU,5,75,52,484,516
FUR,13,52,75,516,484
BAY,3,76,85,315,685
CREI,6,85,76,685,315
MIZ,7,63,78,509,491
PRIN,15,78,63,491,509
HOU,1,81,64,416,584
AUB,9,64,81,584,416
IU,4,69,85,294,706
MIA,5,85,69,706,294
XAV,3,84,73,388,612
PITT,11,73,84,612,388
TEX,2,71,66,452,548
PSU,10,66,71,548,452
KU,1,71,72,461,539
ARK,8,72,71,539,461
CONN,4,70,55,640,360
SMC,5,55,70,360,640
GONZ,3,84,81,431,569
TCU,6,81,84,569,431
UCLA,2,68,63,596,404
NU,7,63,68,404,596
FAU,9,78,70,602,398
FDU,16,70,78,398,602
TENN,4,65,52,646,354
DUKE,5,52,65,354,646
KSU,3,75,69,524,476
UK,6,69,75,476,524
MARQ,2,60,69,626,374
MSU,7,69,60,374,626
ALA,1,64,71,498,502
SDSU,5,71,64,502,498
