team_name,team_seed,team_score,opponent_score,projected_wins_team1,projected_wins_team2
SEMO,16,71,75,542,458
AMCC,16,75,71,458,542
MSST,11,59,60,262,738
PITT,11,60,59,738,262
NEV,11,73,98,500,500
ASU,11,98,73,500,500
TXSO,16,61,84,9,991
FDU,16,84,61,991,9
ALA,1,96,75,738,262
AMCC,16,75,96,262,738
MD,8,67,65,574,426
WVU,9,65,67,426,574
SDSU,5,63,57,470,530
COFC,12,57,63,530,470
UVA,4,67,68,251,749
FUR,13,68,67,749,251
CREI,6,72,63,691,309
NCSU,11,63,72,309,691
BAY,3,74,56,829,171
UCSB,14,56,74,171,829
MIZ,7,76,65,904,96
USU,10,65,76,96,904
ARIZ,2,55,59,561,439
PRIN,15,59,55,439,561
HOU,1,63,52,644,356
NKU,16,52,63,356,644
IOWA,8,75,83,433,567
AUB,9,83,75,567,433
MIA,5,63,56,557,443
DRKE,12,56,63,443,557
IU,4,71,60,437,563
KENT,13,60,71,563,437
ISU,6,41,59,123,877
PITT,11,59,41,877,123
XAV,3,72,67,663,337
KENN,14,67,72,337,663
TA&M,7,59,76,495,505
PSU,10,76,59,505,495
TEX,2,81,61,846,154
COLG,15,61,81,154,846
KU,1,96,68,678,322
HOW,16,68,96,322,678
ARK,8,73,63,541,459
ILL,9,63,73,459,541
SMC,5,63,51,592,408
VCU,12,51,63,408,592
CONN,4,87,63,734,266
IONA,13,63,87,266,734
TCU,6,72,70,582,418
ASU,11,70,72,418,582
GONZ,3,82,70,523,477
GCU,14,70,82,477,523
NU,7,75,67,602,398
BOIS,10,67,75,398,602
UCLA,2,86,53,500,500
UNCA,15,53,86,500,500
PUR,1,58,63,646,354
FDU,16,63,58,354,646
MEM,8,65,66,337,663
FAU,9,66,65,663,337
DUKE,5,74,51,440,560
ORU,12,51,74,560,440
TENN,4,58,55,785,215
ULM,13,55,58,215,785
UK,6,61,53,412,588
PROV,11,53,61,588,412
KSU,3,77,65,692,308
MTST,14,65,77,308,692
MSU,7,72,62,571,429
USC,10,62,72,429,571
MARQ,2,78,61,745,255
UVM,15,61,78,255,745
ALA,1,73,51,938,62
MD,8,51,73,62,938
SDSU,5,75,52,468,532
FUR,13,52,75,532,468
BAY,3,76,85,332,668
CREI,6,85,76,668,332
MIZ,7,63,78,567,433
PRIN,15,78,63,433,567
HOU,1,81,64,431,569
AUB,9,64,81,569,431
IU,4,69,85,399,601
MIA,5,85,69,601,399
XAV,3,84,73,319,681
PITT,11,73,84,681,319
TEX,2,71,66,194,806
PSU,10,66,71,806,194
KU,1,71,72,651,349
ARK,8,72,71,349,651
CONN,4,70,55,708,292
SMC,5,55,70,292,708
GONZ,3,84,81,499,501
TCU,6,81,84,501,499
UCLA,2,68,63,375,625
NU,7,63,68,625,375
FAU,9,78,70,722,278
FDU,16,70,78,278,722
TENN,4,65,52,570,430
DUKE,5,52,65,430,570
KSU,3,75,69,591,409
UK,6,69,75,409,591
MARQ,2,60,69,790,210
MSU,7,69,60,210,790
ALA,1,64,71,565,435
SDSU,5,71,64,435,565
CREI,6,86,75,702,298
PRIN,15,75,86,298,702
HOU,1,75,89,523,477
MIA,5,89,75,477,523
TEX,2,83,71,558,442
XAV,3,71,83,442,558
CONN,4,88,65,832,168
ARK,8,65,88,168,832
UCLA,2,76,79,434,566
GONZ,3,79,76,566,434
TENN,4,55,62,441,559
FAU,9,62,55,559,441
KSU,3,98,93,534,466
MSU,7,93,98,466,534
SDSU,5,57,56,299,701
CREI,6,56,57,701,299
TEX,2,81,88,475,525
MIA,5,88,81,525,475
GONZ,3,54,82,130,870
CONN,4,82,54,870,130
KSU,3,76,79,432,568
FAU,9,79,76,568,432
SDSU,5,72,71,411,589
FAU,9,71,72,589,411
CONN,4,72,59,601,399
MIA,5,59,72,399,601
CONN,4,76,59,676,324
SDSU,5,59,76,324,676
HOW,16,68,71,792,208
WAG,16,71,68,208,792
UVA,10,42,67,258,742
CSU,10,67,42,742,258
MTST,16,81,88,791,209
GRAM,16,88,81,209,791
BOIS,10,53,60,237,763
COLO,10,60,53,763,237
STET,16,52,91,575,425
CONN,1,91,52,425,575
FAU,8,65,77,595,405
NU,9,77,65,405,595
UAB,12,65,69,599,401
SDSU,5,69,65,401,599
AUB,4,76,78,743,257
YALE,13,78,76,257,743
BYU,6,71,67,806,194
DUQ,11,67,71,194,806
MORE,14,69,85,262,738
ILL,3,85,69,738,262
DRKE,10,61,66,657,343
WSU,7,66,61,343,657
SDST,15,65,82,319,681
ISU,2,82,65,681,319
WAG,16,62,90,190,810
UNC,1,90,62,810,190
MSST,8,51,69,474,526
MSU,9,69,51,526,474
SMC,5,66,75,296,704
GCU,12,75,66,704,296
COFC,13,96,109,419,581
ALA,4,109,96,581,419
UNM,11,56,77,327,673
CLEM,6,77,56,673,327
COLG,14,67,92,126,874
BAY,3,92,67,874,126
NEV,10,60,63,314,686
DAY,7,63,60,686,314
LBSU,15,65,85,268,732
ARIZ,2,85,65,732,268
LONG,16,46,86,196,804
HOU,1,86,46,804,196
NEB,8,83,98,371,629
TA&M,9,98,83,629,371
WIS,5,61,72,677,323
JMU,12,72,61,323,677
UVM,13,47,64,297,703
DUKE,4,64,47,703,297
TTU,6,67,80,611,389
NCSU,11,80,67,389,611
UK,3,76,80,474,526
OAK,14,80,76,526,474
FLA,7,100,102,641,359
COLO,10,102,100,359,641
WKU,15,69,87,337,663
MARQ,2,87,69,663,337
GRAM,16,50,78,273,727
PUR,1,78,50,727,273
TCU,9,72,88,662,338
USU,8,88,72,338,662
MCN,12,65,86,355,645
GONZ,5,86,65,645,355
SAM,13,89,93,834,166
KU,4,93,89,166,834
SC,6,73,87,576,424
ORE,11,87,73,424,576
AKR,14,60,77,86,914
CREI,3,77,60,914,86
CSU,10,44,56,468,532
TEX,7,56,44,532,468
SPU,15,49,83,277,723
TENN,2,83,49,723,277
NU,9,58,75,571,429
CONN,1,75,58,429,571
YALE,13,57,85,522,478
SDSU,5,85,57,478,522
DUQ,11,63,89,229,771
ILL,3,89,63,771,229
WSU,7,56,67,156,844
ISU,2,67,56,844,156
MSU,9,69,85,243,757
UNC,1,85,69,757,243
GCU,12,61,72,186,814
ALA,4,72,61,814,186
BAY,3,64,72,552,448
CLEM,6,72,64,448,552
DAY,7,68,78,412,588
ARIZ,2,78,68,588,412
TA&M,9,95,100,799,201
HOU,1,100,95,201,799
JMU,12,55,93,386,614
DUKE,4,93,55,614,386
OAK,14,73,79,757,243
NCSU,11,79,73,243,757
COLO,10,77,81,502,498
MARQ,2,81,77,498,502
USU,8,67,106,402,598
