team_name,team_seed,team_score,opponent_score,projected_wins_team1,projected_wins_team2
SEMO,16,71,75,494,506
AMCC,16,75,71,506,494
MSST,11,59,60,125,875
PITT,11,60,59,875,125
NEV,11,73,98,551,449
ASU,11,98,73,449,551
TXSO,16,61,84,3,997
FDU,16,84,61,997,3
ALA,1,96,75,926,74
AMCC,16,75,96,74,926
MD,8,67,65,502,498
WVU,9,65,67,498,502
SDSU,5,63,57,371,629
COFC,12,57,63,629,371
UVA,4,67,68,144,856
FUR,13,68,67,856,144
CREI,6,72,63,850,150
NCSU,11,63,72,150,850
BAY,3,74,56,900,100
UCSB,14,56,74,100,900
MIZ,7,76,65,852,148
USU,10,65,76,148,852
ARIZ,2,55,59,616,384
PRIN,15,59,55,384,616
HOU,1,63,52,462,538
NKU,16,52,63,538,462
IOWA,8,75,83,587,413
AUB,9,83,75,413,587
MIA,5,63,56,565,435
DRKE,12,56,63,435,565
IU,4,71,60,395,605
KENT,13,60,71,605,395
ISU,6,41,59,40,960
PITT,11,59,41,960,40
XAV,3,72,67,463,537
KENN,14,67,72,537,463
TA&M,7,59,76,456,544
PSU,10,76,59,544,456
TEX,2,81,61,963,37
COLG,15,61,81,37,963
KU,1,96,68,724,276
HOW,16,68,96,276,724
ARK,8,73,63,291,709
ILL,9,63,73,709,291
SMC,5,63,51,529,471
VCU,12,51,63,471,529
CONN,4,87,63,857,143
IONA,13,63,87,143,857
TCU,6,72,70,534,466
ASU,11,70,72,466,534
GONZ,3,82,70,439,561
GCU,14,70,82,561,439
NU,7,75,67,534,466
BOIS,10,67,75,466,534
UCLA,2,86,53,546,454
UNCA,15,53,86,454,546
PUR,1,58,63,750,250
FDU,16,63,58,250,750
MEM,8,65,66,273,727
FAU,9,66,65,727,273
DUKE,5,74,51,391,609
ORU,12,51,74,609,391
TENN,4,58,55,712,288
ULM,13,55,58,288,712
UK,6,61,53,400,600
PROV,11,53,61,600,400
KSU,3,77,65,625,375
MTST,14,65,77,375,625
MSU,7,72,62,548,452
USC,10,62,72,452,548
MARQ,2,78,61,752,248
UVM,15,61,78,248,752
ALA,1,73,51,957,43
MD,8,51,73,43,957
SDSU,5,75,52,371,629
FUR,13,52,75,629,371
BAY,3,76,85,260,740
CREI,6,85,76,740,260
MIZ,7,63,78,324,676
PRIN,15,78,63,676,324
HOU,1,81,64,688,312
AUB,9,64,81,312,688
IU,4,69,85,281,719
MIA,5,85,69,719,281
XAV,3,84,73,370,630
PITT,11,73,84,630,370
TEX,2,71,66,84,916
PSU,10,66,71,916,84
KU,1,71,72,720,280
ARK,8,72,71,280,720
CONN,4,70,55,799,201
SMC,5,55,70,201,799
GONZ,3,84,81,433,567
TCU,6,81,84,567,433
UCLA,2,68,63,393,607
NU,7,63,68,607,393
FAU,9,78,70,810,190
FDU,16,70,78,190,810
TENN,4,65,52,499,501
DUKE,5,52,65,501,499
KSU,3,75,69,618,382
UK,6,69,75,382,618
MARQ,2,60,69,759,241
MSU,7,69,60,241,759
ALA,1,64,71,567,433
SDSU,5,71,64,433,567
CREI,6,86,75,644,356
PRIN,15,75,86,356,644
HOU,1,75,89,421,579
MIA,5,89,75,579,421
TEX,2,83,71,549,451
XAV,3,71,83,451,549
CONN,4,88,65,876,124
ARK,8,65,88,124,876
UCLA,2,76,79,569,431
GONZ,3,79,76,431,569
TENN,4,55,62,362,638
FAU,9,62,55,638,362
KSU,3,98,93,564,436
MSU,7,93,98,436,564
